date,open,high,low,close,volume,ticker
2020-01-02 07:00:00,21.08,21.33,20.97,21.18,896720,FPT
2020-01-02 07:00:00,8.1,8.27,8.04,8.27,4232230,HPG
2020-01-02 07:00:00,38.98,39.5,38.76,39.24,386290,VCB
2020-01-02 07:00:00,62.31,63.04,62.31,62.6,238600,VHM
2020-01-02 07:00:00,71.66,72.39,71.35,72.21,352700,VNM
2020-01-03 07:00:00,21.29,21.37,20.75,20.82,2047880,FPT
2020-01-03 07:00:00,8.34,8.39,8.29,8.32,7832210,HPG
2020-01-03 07:00:00,39.54,39.67,38.85,38.85,536130,VCB
2020-01-03 07:00:00,62.6,62.97,62.38,62.82,394470,VHM
2020-01-03 07:00:00,72.39,72.88,72.39,72.45,625390,VNM
2020-01-06 07:00:00,20.64,20.82,20.54,20.61,1091660,FPT
2020-01-06 07:00:00,8.27,8.35,8.22,8.27,5371060,HPG
2020-01-06 07:00:00,38.55,38.68,37.81,37.81,880110,VCB
2020-01-06 07:00:00,62.38,62.67,61.05,61.49,1025270,VHM
2020-01-06 07:00:00,72.27,72.39,71.53,71.9,495910,VNM
2020-01-07 07:00:00,20.72,21.0,20.61,21.0,837240,FPT
2020-01-07 07:00:00,8.3,8.34,8.13,8.17,4871220,HPG
2020-01-07 07:00:00,37.6,37.99,36.91,37.94,1013270,VCB
2020-01-07 07:00:00,61.2,62.53,61.2,61.79,590360,VHM
2020-01-07 07:00:00,71.96,72.76,71.96,72.57,459520,VNM
2020-01-08 07:00:00,20.79,20.86,20.54,20.54,1814290,FPT
2020-01-08 07:00:00,8.1,8.15,7.98,8.08,6421130,HPG
2020-01-08 07:00:00,37.55,37.99,37.25,37.6,722280,VCB
2020-01-08 07:00:00,61.2,61.57,59.73,60.83,553690,VHM
2020-01-08 07:00:00,72.57,72.76,71.96,72.76,837710,VNM
2020-01-09 07:00:00,20.72,20.86,20.64,20.82,967050,FPT
2020-01-09 07:00:00,8.13,8.32,8.13,8.27,4613440,HPG
2020-01-09 07:00:00,37.9,38.42,37.9,38.33,722670,VCB
2020-01-09 07:00:00,61.49,61.72,61.13,61.42,421250,VHM
2020-01-09 07:00:00,72.88,73.19,72.51,72.64,624130,VNM
2020-01-10 07:00:00,20.79,20.9,20.64,20.79,1018650,FPT
2020-01-10 07:00:00,8.3,8.46,8.29,8.34,10006180,HPG
2020-01-10 07:00:00,38.33,39.07,37.99,38.68,1526920,VCB
2020-01-10 07:00:00,61.42,62.6,60.98,62.31,699780,VHM
2020-01-10 07:00:00,72.64,73.0,72.51,72.82,596280,VNM
2020-01-13 07:00:00,20.75,20.82,20.61,20.64,786760,FPT
